1,2,3,4,5,6,7,8,9,10,11,12
Valor,Salio,Acerto a 3 ,porsentaje3,Acerto a 35 ,porsentaje35,Acerto a 4 ,porsentaje4,Acerto a 45 ,porsentaje45,Acerto a 5 ,porsentaje5
1,40.0,38.0,95.0,40.0,100.0,7.0,17.5,9.0,22.5,37.0,92.5
2,0,0,0,0,0,0,0,0,0,0,0
3,0,0,0,0,0,0,0,0,0,0,0
4,14.0,14.0,100.0,14.0,100.0,5.0,35.714285714285715,5.0,35.714285714285715,0,0.0
5,0,0,0,0,0,0,0,0,0,0,0
6,0,0,0,0,0,0,0,0,0,0,0
7,1.0,1.0,100.0,1.0,100.0,1.0,100.0,0,0.0,0,0.0
8,0,0,0,0,0,0,0,0,0,0,0
9,0,0,0,0,0,0,0,0,0,0,0
10,1.0,0,0.0,1.0,100.0,1.0,100.0,0,0.0,1.0,100.0
11,0,0,0,0,0,0,0,0,0,0,0
12,0,0,0,0,0,0,0,0,0,0,0
13,8.0,0,0.0,8.0,100.0,0,0.0,2.0,25.0,0,0.0
14,0,0,0,0,0,0,0,0,0,0,0
15,0,0,0,0,0,0,0,0,0,0,0
16,0,0,0,0,0,0,0,0,0,0,0
17,0,0,0,0,0,0,0,0,0,0,0
18,0,0,0,0,0,0,0,0,0,0,0
19,0,0,0,0,0,0,0,0,0,0,0
20,0,0,0,0,0,0,0,0,0,0,0
21,0,0,0,0,0,0,0,0,0,0,0
22,3.0,0,0.0,3.0,100.0,2.0,66.66666666666667,1.0,33.333333333333336,0,0.0
23,0,0,0,0,0,0,0,0,0,0,0
24,0,0,0,0,0,0,0,0,0,0,0
25,0,0,0,0,0,0,0,0,0,0,0
26,0,0,0,0,0,0,0,0,0,0,0
27,0,0,0,0,0,0,0,0,0,0,0
