1,2,3,4,5,6,7,8,9,10,11,12
Valor,Salio,Acerto a 3 ,porsentaje3,Acerto a 35 ,porsentaje35,Acerto a 4 ,porsentaje4,Acerto a 45 ,porsentaje45,Acerto a 5 ,porsentaje5
1,9.0,4.0,44.44444444444444,6.0,66.66666666666667,5.0,55.55555555555556,0,0.0,0,0
2,0,0,0,0,0,0,0,0,0,0,0
3,5.0,2.0,40.0,2.0,40.0,2.0,40.0,0,0.0,0,0
4,0,0,0,0,0,0,0,0,0,0,0
5,0,0,0,0,0,0,0,0,0,0,0
6,0,0,0,0,0,0,0,0,0,0,0
7,4.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0
8,1.0,1.0,100.0,1.0,100.0,0,0.0,0,0.0,0,0
9,16.0,9.0,56.25,8.0,50.0,10.0,62.5,0,0.0,0,0
10,0,0,0,0,0,0,0,0,0,0,0
11,7.0,1.0,14.285714285714286,2.0,28.571428571428573,3.0,42.857142857142854,0,0.0,0,0
12,2.0,1.0,50.0,0,0.0,0,0.0,0,0.0,0,0
13,3.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0
14,0,0,0,0,0,0,0,0,0,0,0
15,9.0,4.0,44.44444444444444,2.0,22.22222222222222,1.0,11.11111111111111,0,0.0,0,0
16,0,0,0,0,0,0,0,0,0,0,0
17,0,0,0,0,0,0,0,0,0,0,0
18,0,0,0,0,0,0,0,0,0,0,0
19,0,0,0,0,0,0,0,0,0,0,0
20,0,0,0,0,0,0,0,0,0,0,0
21,0,0,0,0,0,0,0,0,0,0,0
22,0,0,0,0,0,0,0,0,0,0,0
23,0,0,0,0,0,0,0,0,0,0,0
24,0,0,0,0,0,0,0,0,0,0,0
