1,2,3,4,5,6,7,8,9,10,11,12
Valor,Salio,Acerto a 3 ,porsentaje3,Acerto a 35 ,porsentaje35,Acerto a 4 ,porsentaje4,Acerto a 45 ,porsentaje45,Acerto a 5 ,porsentaje5
1,56.0,17.0,30.357142857142858,18.0,32.142857142857146,19.0,33.92857142857143,0,0.0,0,0
2,0,0,0,0,0,0,0,0,0,0,0
3,0,0,0,0,0,0,0,0,0,0,0
4,3.0,1.0,33.333333333333336,0,0.0,0,0.0,0,0.0,0,0
5,0,0,0,0,0,0,0,0,0,0,0
6,0,0,0,0,0,0,0,0,0,0,0
7,0,0,0,0,0,0,0,0,0,0,0
8,0,0,0,0,0,0,0,0,0,0,0
9,6.0,1.0,16.666666666666668,1.0,16.666666666666668,1.0,16.666666666666668,0,0.0,0,0
10,0,0,0,0,0,0,0,0,0,0,0
11,0,0,0,0,0,0,0,0,0,0,0
12,0,0,0,0,0,0,0,0,0,0,0
13,0,0,0,0,0,0,0,0,0,0,0
14,0,0,0,0,0,0,0,0,0,0,0
15,0,0,0,0,0,0,0,0,0,0,0
16,0,0,0,0,0,0,0,0,0,0,0
17,13.0,6.0,46.15384615384615,5.0,38.46153846153846,4.0,30.76923076923077,0,0.0,0,0
18,0,0,0,0,0,0,0,0,0,0,0
19,0,0,0,0,0,0,0,0,0,0,0
20,1.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0
21,0,0,0,0,0,0,0,0,0,0,0
22,0,0,0,0,0,0,0,0,0,0,0
23,0,0,0,0,0,0,0,0,0,0,0
24,0,0,0,0,0,0,0,0,0,0,0
