1,2,3,4,5,6,7,8,9,10,11,12
Valor,Salio,Acerto a 3 ,porsentaje3,Acerto a 35 ,porsentaje35,Acerto a 4 ,porsentaje4,Acerto a 45 ,porsentaje45,Acerto a 5 ,porsentaje5
1,39.0,10.0,25.641025641025642,12.0,30.76923076923077,15.0,38.46153846153846,0,0.0,0,0
2,2.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0
3,0,0,0,0,0,0,0,0,0,0,0
4,0,0,0,0,0,0,0,0,0,0,0
5,0,0,0,0,0,0,0,0,0,0,0
6,0,0,0,0,0,0,0,0,0,0,0
7,0,0,0,0,0,0,0,0,0,0,0
8,0,0,0,0,0,0,0,0,0,0,0
9,33.0,15.0,45.45454545454545,13.0,39.39393939393939,12.0,36.36363636363637,0,0.0,0,0
10,2.0,1.0,50.0,0,0.0,0,0.0,0,0.0,0,0
11,0,0,0,0,0,0,0,0,0,0,0
12,0,0,0,0,0,0,0,0,0,0,0
13,0,0,0,0,0,0,0,0,0,0,0
14,0,0,0,0,0,0,0,0,0,0,0
15,0,0,0,0,0,0,0,0,0,0,0
16,0,0,0,0,0,0,0,0,0,0,0
17,21.0,5.0,23.80952380952381,5.0,23.80952380952381,6.0,28.571428571428573,0,0.0,0,0
18,2.0,1.0,50.0,1.0,50.0,0,0.0,0,0.0,0,0
19,0,0,0,0,0,0,0,0,0,0,0
20,0,0,0,0,0,0,0,0,0,0,0
21,0,0,0,0,0,0,0,0,0,0,0
22,0,0,0,0,0,0,0,0,0,0,0
23,0,0,0,0,0,0,0,0,0,0,0
24,0,0,0,0,0,0,0,0,0,0,0
