1,2,3,4,5,6,7,8,9,10,11,12
Valor,Salio,Acerto a 3 ,porsentaje3,Acerto a 35 ,porsentaje35,Acerto a 4 ,porsentaje4,Acerto a 45 ,porsentaje45,Acerto a 5 ,porsentaje5
1,1.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0
2,0,0,0,0,0,0,0,0,0,0,0
3,0,0,0,0,0,0,0,0,0,0,0
4,0,0,0,0,0,0,0,0,0,0,0
5,12.0,2.0,16.666666666666668,2.0,16.666666666666668,1.0,8.333333333333334,0,0.0,0,0
6,3.0,1.0,33.333333333333336,0,0.0,0,0.0,0,0.0,0,0
7,15.0,4.0,26.666666666666668,5.0,33.333333333333336,6.0,40.0,0,0.0,0,0
8,0,0,0,0,0,0,0,0,0,0,0
9,0,0,0,0,0,0,0,0,0,0,0
10,0,0,0,0,0,0,0,0,0,0,0
11,0,0,0,0,0,0,0,0,0,0,0
12,0,0,0,0,0,0,0,0,0,0,0
13,2.0,1.0,50.0,1.0,50.0,0,0.0,0,0.0,0,0
14,0,0,0,0,0,0,0,0,0,0,0
15,0,0,0,0,0,0,0,0,0,0,0
16,0,0,0,0,0,0,0,0,0,0,0
17,0,0,0,0,0,0,0,0,0,0,0
18,0,0,0,0,0,0,0,0,0,0,0
19,0,0,0,0,0,0,0,0,0,0,0
20,0,0,0,0,0,0,0,0,0,0,0
21,1.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0
22,2.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0
23,1.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0
24,0,0,0,0,0,0,0,0,0,0,0
